Мутко|Рашен Федерешен политишен
Путин|Первый после Бога;Знаменитый просиратель стабфондов;верующий офицер КГБ;крошка Цахес;альфа-журавль;точка опоры произвола и коррупции
Милонов|Рыжий Властелин;Мудило с кадилом;Отец Пигидий;Упоротый;малахольный депутат законодательного собрания Петербурга;профессиональный борец с геями
Москва|Default City;Нерезиновая;Нерезиновск;Понаеховск
Москву|Default City;Нерезиновую;Нерезиновск;Понаеховск
Москве|Default City;Нерезиновой;Нерезиновске;Понаеховске
Москвы|Default City;Нерезиновой;Нерезиновска;Понаеховска
США|Пиндостан;Асашай;Соединённые Штаты Пиндосии;Сатанинские Штаты Америки
Америка|Пиндостан;Асашай;Соединённые Штаты Пиндосии;Сатанинские Штаты Америки
Американский|Пиндостанский
Израиль|Жидостан;Сраиль;деревня Израиловка;51-й штат Пиндостана;16-я республика СССР
Барак Обама|Абамка-абизьянка;Барак ибн-Хусейн Аль-Пиндостани;Бардак Обмана;Обезьяна;Батрак Абрама
Киев|Мать городов русских;столица Украины, а не этой страны
Адыгея|Солнечная Адыгея;Помидорная Республика;Агыдея;гордая независимая республика, окруженная со всех сторон Краснодарским краем
Суд|место для формальных разборок IRL;суд не самый справедливый и очень зависимый
Единая Россия|ПЖиВ;Партия Воров, Убийц и Проходимцев;Партия Неподкупных чиновников;всероссийская политическая партия чиновников
Жириновский|Вольдемар бен Вольф Эйдельштейн;Жирик;ярый [анти]семит;депутат руками-ногами и громким голосом;клоун у пидарасов и сын jewриста;Главный поставщик лулзов
Лавров|"Who are you to fucking lecture me";"Хули ты мне лечишь?"
ФСБ|организованная преступная группировка РФ;рука ZOG;Кровавая гэбня
Россия|Эта страна;Рашка
России|Этой стране
Россию|Эту страну;Рашку
Ленин|Зеэв Элияhович Бланк;вождь пролетариата;создатель совка;чуваше-калмыко-русский шведо-немце-еврей;эпический тролль в кепке;гриб;«холодная машина революции»
Ленина|Создателя совка;эпического тролля в кепке;
Госдума|Взбесившийся принтер;Народн. госдура;Филейная часть парламента этой страны;
Госдуму|Взбесившийся принтер;Народн. госдуру;Филейную часть парламента этой страны;
Госдуме|Взбесившемся принтере;Народн. госдуре;Филейной части парламента этой страны;
